SQL Statement,Modified_Statement,Original,Error_Category
"SELECT  date,  time,  time_of_day_kNOts,  intensity,  rank() over (partition by date,  intensity order by time) FROM  [1052].[Discovery Island 2000-11.txt] x","SELECT 
    date, 
    time, 
    time_of_day_kNOts, 
    intensity, 
    rank() over (partition by date, intensity order by time)
FROM 
    [1052].[Discovery Island 2000-11.txt] x
JOIN 
    [1052].[OtherTable] y
ON 
    x.date = y.date
WHERE 
    date BETWEEN '2000-01-01' AND '2000-12-31'",NO,NO Error
"SELECT  * FROM  [1123].[BiGoRNA_genetable_clc]clc left join [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)]sp on clc.[""Name""]=sp.CGI_ID","SELECT *
FROM [1123].[BiGoRNA_genetable_clc] AS clc
LEFT JOIN [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] AS sp
ON clc.[""Name""] = sp.CGI_ID
WHERE Name = 'SpecificName'",YES,alias-ambiguous
"SELECT  count(*) FROM  ( SELECT  fs.sql_query,  vs.query_hash,  vs.x_col,  vs.y_col,  vs.vizlet_type--,  count(*) as score FROM  [1307].[vizlets_28NOv11_16h16m43s_every_displayed_vizlet.csv] vs LEFT OUTER JOIN  [1307].[vizlets_23NOv11_10h34m16s_vizlet_and_action_features.csv] fs ON (vs.query_hash = fs.sql_query_hash and vs.x_col = fs.x_col_name and vs.y_col = fs.y_col_name and vs.vizlet_type = fs.vizlet_type) WHERE  action = 'promote' --  GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name,  fs.vizlet_type --ORDER BY  count(*) asc --  ) z","SELECT  count(*) FROM  ( SELECT  fs.sql_query,  vs.query_hash,  vs.x_col,  vs.y_col,  vs.vizlet_type--,  count(*) as score FROM  [1307].[vizlets_28NOv11_16h16m43s_every_displayed_vizlet.csv] vs LEFT OUTER JOIN  [1307].[vizlets_23NOv11_10h34m16s_vizlet_and_action_features.csv] fs ON (vs.query_hash = fs.sql_query_hash and vs.x_col = fs.x_col_name and vs.y_col = fs.y_col_name and vs.vizlet_type = fs.vizlet_type) WHERE  action = 'promote' --  GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name,  fs.vizlet_type --ORDER BY  count(*) asc --  ) z",NO,NO Error
SELECT  count(*) FROM  [1259].[ecoli_NOgaps_1.csv],"SELECT COUNT(*)
FROM [1259].[ecoli_NOgaps_1.csv]
WHERE id = (SELECT id FROM [1259].[ecoli_NOgaps_1.csv] WHERE length > 1000);  ",YES,type-mismatch-nested
"SELECT  TOP 1 * FROM  [354].[Dan's binning] a, [354].[Dan's binning]  b","SELECT TOP 1 *
FROM [354].[Dan's binning] a, [354].[Dan's binning] b
WHERE a.id = (SELECT id FROM [354].[Dan's binning] WHERE value > 100); ",YES,type-mismatch-nested
"SELECT  'INSERT INTO PathwayGenusPdb (PathwayId, Genus, EnzymesInPdb) VALUES (''' + PathwayId + ''', ''' + Genus + ''', ' + CAST(EnzymesInPdb as varchar(4)) + ')' as Statement","SELECT  'INSERT INTO PathwayGenusPdb (PathwayId, Genus, EnzymesInPdb) VALUES (''' + PathwayId + ''', ''' + Genus + ''', ' + CAST(EnzymesInPdb as varchar(4)) + ')' as Statement",NO,NO Error
SELECT  sum(BAR_amt) FROM  [1314howe].[ALL_Operations_Details.csv] WHERE  category_label = 'Salaries' -- or category_label = 'Benefits' AND  Description like 'Total Post-docs',"SELECT SUM(BAR_amt)
FROM [1314howe].[ALL_Operations_Details.csv]
WHERE category_label = 'Salaries' 
  AND CAST(Description AS INT) LIKE 'Total Post-docs';",YES,type-mismatch-condition
SELECT  * FROM [187].[table_Matrix A.txt]  A full outer join [187].[table_Matrix B.txt] B on A.row_num = B.row_num and A.column_num  = b.column_num,SELECT  * FROM [187].[table_Matrix A.txt]  A full outer join [187].[table_Matrix B.txt] B on A.row_num = B.row_num and A.column_num  = b.column_num,NO,NO Error
"SELECT  Distinct SightDate,  Month,  Day,  [Year] FROM  [1117].[OrcaMaster2010.csv] WHERE  [Year] BETWEEN 2006 AND  2010 AND  Pod <> 'Ts?'","SELECT 
    AVG(Month),  -- Assuming 'Month' is numeric for demonstration
    SightDate, 
    Day, 
    [Year]
FROM 
    [1117].[OrcaMaster2010.csv]
WHERE 
    [Year] BETWEEN 2006 AND 2010
    AND Pod <> 'Ts?'
GROUP BY 
    SightDate, 
    Day, 
    [Year];",YES,aggr-attribute
SELECT  * FROM    [1017].[DESeq2_join_spid.txt]deg left join [94].[Phel_clc_blastx_uniprot_sprot_sqlready_1.tab]eval on deg.Column1=eval.Column1 where Column21 = 'sp',"SELECT *
FROM [1017].[DESeq2_join_spid.txt]deg
LEFT JOIN [94].[Phel_clc_blastx_uniprot_sprot_sqlready_1.tab]eval ON deg.Column1 = eval.Column1
WHERE Column21 = (SELECT Column21 FROM [1017].[DESeq2_join_spid.txt] WHERE some_condition = 'value'); ",YES,type-mismatch-nested
SELECT  * FROM  [826].[PN_multiseries_ESTs_clust.vs.Fracy1FM2_SHOR TFOR M.tab.txt] hits left join [826].[table_Fracy1_ecpathwayinfo_FilteredModels2_SHOR TFOR M.tab.txt] anNOtate on hits.hit_id = anNOtate.proteinId,"SELECT * 
FROM [826].[PN_multiseries_ESTs_clust.vs.Fracy1FM2_SHORTFORM.tab.txt] hits 
LEFT JOIN [826].[table_Fracy1_ecpathwayinfo_FilteredModels2_SHORTFORM.tab.txt] anNOtate 
ON hits.hit_id = anNOtate.proteinId
HAVING COUNT(hits.hit_id) > 1; ",YES,aggr-having
"SELECT  rank % 4 as phase ,  rank / 4 as tidal_cycle ,  * FROM  ( SELECT  rank() OVER(ORDER BY  timestamp) as rank,  * FROM  ( SELECT  cast(date + ' ' + time as datetime) as timestamp ,  location,  event_kNOts ,  current_intensity FROM  [1052].[Pile Point Currents 00-11.txt] ) x ) y ORDER BY  timestamp","SELECT 
    rank % '4' as phase, 
    rank / 4 as tidal_cycle,
    *
FROM (
    SELECT 
        RANK() OVER (ORDER BY timestamp) as rank,
        *
    FROM (
        SELECT 
            CAST(location + current_intensity AS DATETIME) as timestamp, 
            location,
            event_kNOts,
            current_intensity
        FROM [1052].[Pile Point Currents 00-11.txt]
    ) x
) y
ORDER BY timestamp;",YES,type-mismatch-condition
"SELECT  time,  pop,  lat,  long ,  flow,  bulk_red,  event_rate ,  salinity,  temperature,  evt,  opp,  n ,   fluorescence,  conc,  flag FROM  [1314howe].[stats.tab]","SELECT 
    AVG(time),  -- Assuming 'time' could be a numerical field; typically this is illogical
    pop, 
    lat, 
    long, 
    flow, 
    bulk_red, 
    event_rate, 
    salinity, 
    temperature, 
    evt, 
    opp, 
    n, 
    fluorescence, 
    conc, 
    flag
FROM 
    [1314howe].[stats.tab];",YES,aggr-attribute
"SELECT  a.company_permalink,  a.company_name,  f.funding FROM  [372].[acqui_cleaned] a,  [372].[funding_cleaned] f where a.company_permalink = f.company_permalink","SELECT a.company_permalink, a.company_name, f.funding
FROM [372].[acqui_cleaned] a, [372].[funding_cleaned] f
WHERE a.company_permalink = (SELECT company_permalink FROM [372].[funding_cleaned] WHERE total_funding > 1000000);  ",YES,type-mismatch-nested
"SELECT  [VLP.mL] as VirusCount ,  [DAPI..cells.ml.] as BactCount FROM  [446].[Virus_Count_vs_Bact_Count]","SELECT  [VLP.mL] as VirusCount ,  [DAPI..cells.ml.] as BactCount FROM  [446].[Virus_Count_vs_Bact_Count]",NO,NO Error
"SELECT  a.[Depth..m.] ,  b.[Depth..m.] ,  b.[Station],  a.[Station],  a.[longitude..Decimal.deg.] ,  a.[Tot.Cu.nM.] ,  b.[Ammonia.oxidation.rate..nmol.l.1.d.1.] AS Ammonia_oxydation_rate_nmol FROM  [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] a ,  [446].[V2_Horak_GeoMICS data.csv] b WHERE a.[longitude..Decimal.deg.] = b.[longitude..Decimal.deg.] --AND  a.[Depth..m.] != b.[Depth..m.] AND  b.[Ammonia.oxidation.rate..nmol.l.1.d.1.] <> 'NA' ORDER BY  b.Station,  a.Station,  a.[Depth..m.],  b.[Depth..m.]","SELECT a.[Depth..m.], b.[Depth..m.], b.[Station], a.[Station], a.[longitude..Decimal.deg.], a.[Tot.Cu.nM.], 
       b.[Ammonia.oxidation.rate..nmol.l.1.d.1.] AS Ammonia_oxydation_rate_nmol
FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] a, [446].[V2_Horak_GeoMICS data.csv] b
WHERE a.[longitude..Decimal.deg.] = (SELECT [longitude..Decimal.deg.] FROM [446].[V2_Horak_GeoMICS data.csv] WHERE [Ammonia.oxidation.rate..nmol.l.1.d.1.] <> 'NA' AND Station = 'Station1')  
ORDER BY b.Station, a.Station, a.[Depth..m.], b.[Depth..m.]",YES,type-mismatch-nested
"SELECT  * FROM  [1123].[AggCo Oyster Bisulfite mRNA and CDS] Where ""SUM mRNA"" > 100 and ""Percent mCpG (CDS)"" > 90","SELECT  * FROM  [1123].[AggCo Oyster Bisulfite mRNA and CDS] Where ""SUM mRNA"" > 100 and ""Percent mCpG (CDS)"" > 90",NO,NO Error
SELECT  numSpecies FROM  [354].[tmpColumnNameTest],"SELECT  y.numSpecies 
FROM  [354].[tmpColumnNameTest] x;",YES,alias-undefined
select * from tbl_revenue where treasurer_fullname NOt in (select fullname from tbl_person),select * from tbl_revenue where treasurer_fullname NOt in (select fullname from tbl_person),NO,NO Error
"SELECT  row_number() over (order by [Total Fat] DESC) as row ,  * FROM  [1314howe].[categorized_fat_with_calories] c","SELECT ROW_NUMBER() OVER (ORDER BY (SELECT [Total Fat] FROM [1314howe].[categorized_fat_with_calories] WHERE [Category] = 'Snack') DESC) AS row, *
FROM [1314howe].[categorized_fat_with_calories] c",YES,type-mismatch-nested
"SELECT  CAST([DMY] AS Date) AS [Date] ,  [DMY] + ' ' + [HMS] ,  [LAT] ,  [LON] ,  [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  [PAR] ,  [time] ,  [day] ,  [file] FROM  [1059].[sds2.tab]","SELECT CAST([DMY] AS Date) AS [Date], 
       [DMY] + ' ' + [HMS], 
       [LAT], 
       [LON], 
       [CONDUCTIVITY], 
       [SALINITY], 
       [OCEAN.TEMP], 
       [BULK.RED], 
       [STREAM.PRESSURE], 
       [FILTER.PRESSURE], 
       [MACHINE.TEMP], 
       [Xaccel], 
       [Yaccel], 
       [Zaccel], 
       [MILLISECOND.TIMER], 
       [LASER.POWER], 
       [EVENT.RATE], 
       [FLOW.METER], 
       [position], 
       [CHL], 
       [LightTrans], 
       [acqError], 
       [D1D2], 
       [PAR], 
       [time], 
       [day], 
       [file] 
FROM [1059].[sds2.tab]
HAVING COUNT([LAT]) > 1; ",YES,aggr-having
"SELECT  LEN([protein]) - LEN(REPLACE([protein],  ', ',  '')) + 1 FROM  [412].[A1 file 21 reduced]","SELECT LEN([protein]) - LEN(REPLACE([protein], ', ', CAST(100 AS VARCHAR))) + 1 
FROM [412].[A1 file 21 reduced];",YES,type-mismatch-condition
SELECT  * FROM  [1123].[Mgo_RNAseq_transcript],"SELECT *
FROM [1123].[Mgo_RNAseq_transcript]
WHERE gene_id = (SELECT gene_id FROM [1123].[Mgo_RNAseq_transcript] WHERE expression_level > 1000); ",YES,type-mismatch-nested
select count(*) from [CRdb_requestors.csv] cr left join [CTTdb_Requestors.csv] ct on (ct.PI_name = cr.PI_name),select count(*) from [CRdb_requestors.csv] cr left join [CTTdb_Requestors.csv] ct on (ct.PI_name = cr.PI_name),NO,NO Error
select distinct journal from article where journal like '%TODS%',"SELECT DISTINCT journal
FROM article AS art
JOIN publication AS pub ON art.article_id = pub.article_id
WHERE journal LIKE '%TODS%'",NO,NO Error
SELECT Len(sequence_gg) FROM  [1123].[TJGR_geNOmic_gene.txt] Where gID like '%CGI_10000001%',"SELECT 
    AVG(Len(sequence_gg)) AS AverageSequenceLength  -- Assuming sequence_gg is numeric for AVG, which is illogical
FROM 
    [1123].[TJGR_geNOmic_gene.txt]
WHERE 
    gID LIKE '%CGI_10000001%';",YES,aggr-attribute
"select ecp.pathway_name,  se.genus,  count(ecp.ec_number) from [ssgcid_EC_map] se join [ec_pathway.csv] ecp on ecp.ec_number = se.""EC Numbers"" where ecp.pathway_name <> '' group by ecp.pathway_name,  se.genus","SELECT pathway_name, genus, COUNT(ec_number) 
FROM [ssgcid_EC_map] AS se 
JOIN [ec_pathway.csv] AS ecp 
ON ec_number = ec_numbers
WHERE pathway_name <> ''
GROUP BY pathway_name, genus",YES,alias-ambiguous
"SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 AND  NO comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein A213] ,  [tot indep spectra] AS [tot spectra A213] FROM  [412].[A2_file13.txt]","SELECT  
    DISTINCT CASE 
        WHEN PATINDEX('%[0-9]%', x.[protein]) = 1 -- first char is number 
        AND CHARINDEX(', ', x.[protein]) = 0 -- NO comma present 
        THEN x.[protein] 
        ELSE SUBSTRING(x.[protein], PATINDEX('%[0-9]%', x.[protein]), CHARINDEX(', ', x.[protein]) - PATINDEX('%[0-9]%', x.[protein])) 
        END AS [protein A213],  
    y.[tot indep spectra] AS [tot spectra A213] 
FROM  
    [412].[A2_file13.txt];",YES,alias-undefined
SELECT  distinct Protin FROM  [412].[allblast],SELECT  distinct Protin FROM  [412].[allblast],NO,NO Error
"SELECT  residues.pdb_id,  proteins.gaps,  residues.res_type,  residues.res_index,  residues.res_type ,  residues.res_type_sh,  residues.chain,  residues.res_surface_area,  residues.res_surface_area_ratio, residues.phi,  residues.psi,  residues.structure FROM  [1267].[H2_w_2.csv] residues FULL JOIN  [1267].[h2_w_1.csv] proteins ON proteins.pdb_id=residues.pdb_id WHERE  proteins.gaps = 0  AND  residues.pdb_id IS NOT NULL ORDER BY  residues.pdb_id","SELECT  residues.pdb_id,  proteins.gaps,  residues.res_type,  residues.res_index,  residues.res_type ,  residues.res_type_sh,  residues.chain,  residues.res_surface_area,  residues.res_surface_area_ratio, residues.phi,  residues.psi,  residues.structure FROM  [1267].[H2_w_2.csv] residues FULL JOIN  [1267].[h2_w_1.csv] proteins ON proteins.pdb_id=residues.pdb_id WHERE  proteins.gaps = 0  AND  residues.pdb_id IS NOT NULL ORDER BY  residues.pdb_id",NO,NO Error
SELECT  * FROM  [1123].[OAMS_SkylineData.csv] WHERE  PrecursorCharge <3,SELECT  * FROM  [1123].[OAMS_SkylineData.csv] WHERE  PrecursorCharge <3,NO,NO Error
SELECT  * FROM  [1314howe].[uwsalaries.csv] WHERE  title like '%SOFTWARE%' order by sal desc,"SELECT *
FROM [1314howe].[uwsalaries.csv]
WHERE title LIKE '%SOFTWARE%'
  AND salary = (SELECT salary FROM [1314howe].[uwsalaries.csv] WHERE title LIKE '%MANAGER%')  
ORDER BY sal DESC;",YES,type-mismatch-nested
"select u.[ec numbers] as enzyme,  a.proteinssgcidid from report_anacor a join [uniprot_enzyme_map.csv] u on (u.accession = a.uniprot)","SELECT enzyme, proteinssgcidid
FROM report_anacor AS a
JOIN [uniprot_enzyme_map.csv] AS u
ON (u.accession = a.uniprot)
WHERE ec_numbers = 'specific value'",YES,alias-ambiguous
"WITH  Numbered AS (SELECT  [time] as [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [Time] ASC) AS [Row] FROM  [1059].[STATS_VIEW]) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance","WITH  Numbered AS (SELECT  [time] as [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [Time] ASC) AS [Row] FROM  [1059].[STATS_VIEW]) ,  Paired AS (SELECT  a.[DateTime] AS [DateTime] ,  DATEDIFF(second,  a.[DateTime],  b.[DateTime]) AS [Elapsed (s)] ,  a.[LAT] AS [lat1deg] ,  a.[LON] AS [lon1deg] ,  b.[LAT] AS [lat2deg] ,  b.[LON] AS [lon2deg] ,  a.[LAT] * PI() / 180 AS [lat1] ,  b.[LAT] * PI() / 180  AS [lat2] ,  (a.[LAT] - b.[LAT]) * PI() / 180 AS [dlat] ,  (a.[LON] - b.[LON]) * PI() / 180 AS [dlon] FROM  Numbered a JOIN  Numbered b ON a.[Row]+1 = b.[Row]) ,  Trig AS (SELECT  * ,  POWER(SIN(dlat/2), 2) + POWER(SIN(dlon/2), 2) * COS(lat1) * COS(lat2) AS val FROM  Paired) ,  Distance AS (SELECT  * ,  6378100 * 2 * atn2(sqrt(val),  sqrt(1-val)) AS [Distance (m)] FROM  Trig) SELECT  * ,  [Distance (m)] / NULLIF([Elapsed (s)], 0) AS [Velocity (m/s)] FROM  Distance",NO,NO Error
"SELECT  a.company_permalink,  a.company_name,  f.funding,  cast(replace(price_amount,  ', ',  '') as numeric) as price,  cast(replace(price_amount,  ', ',  '') as numeric) - funding as profit,  acquired_at,  acquirer_name FROM  [372].[acqui] a,  [372].[funding_cleaned] f where a.company_permalink = f.company_permalink and a.price_amount != '' and a.price_amount NOt like '%-%' and  a.price_currency_code = 'USD' order by cast(replace(price_amount,  ', ',  '') as numeric) - funding DESC","SELECT  
    a.company_permalink, 
    a.company_name, 
    SUM(f.funding) as total_funding,  -- Introducing aggregate function
    cast(replace(price_amount,  ', ',  '') as numeric) as price, 
    cast(replace(price_amount,  ', ',  '') as numeric) - SUM(f.funding) as profit,  -- Using aggregate in calculation
    acquired_at, 
    acquirer_name 
FROM  
    [372].[acqui] a,  
    [372].[funding_cleaned] f 
WHERE 
    a.company_permalink = f.company_permalink 
    and a.price_amount != '' 
    and a.price_amount NOt like '%-%' 
    and a.price_currency_code = 'USD' 
ORDER BY 
    cast(replace(price_amount,  ', ',  '') as numeric) - SUM(f.funding) DESC;",YES,aggr-attribute
SELECT  * FROM  [1123].[Phel_sig_NOrmalized_exp]sig left join [1123].[Phel_clc_wID_info]des on sig.contig=des.Column1,SELECT  * FROM  [1123].[Phel_sig_NOrmalized_exp]sig left join [1123].[Phel_clc_wID_info]des on sig.contig=des.Column1,NO,NO Error
"select USER_NAME(p.grantee_principal_id) AS principal_name, dp.type_desc AS principal_type_desc, p.class_desc, OBJECT_NAME(p.major_id) AS object_name,  o.type, p.permission_name, p.state_desc AS permission_state_desc,  p.* from    sys.database_permissions p inner   JOIN  sys.database_principals dp on     p.grantee_principal_id = dp.principal_id inner   JOIN  sys.objects o on p.major_id = o.object_id WHERE  o.type = 'V' and dp.type_desc = 'SQL_USER'","select USER_NAME(p.grantee_principal_id) AS principal_name, dp.type_desc AS principal_type_desc, p.class_desc, OBJECT_NAME(p.major_id) AS object_name,  o.type, p.permission_name, p.state_desc AS permission_state_desc,  p.* from    sys.database_permissions p inner   JOIN  sys.database_principals dp on     p.grantee_principal_id = dp.principal_id inner   JOIN  sys.objects o on p.major_id = o.object_id WHERE  o.type = 'V' and dp.type_desc = 'SQL_USER'",NO,NO Error
"SELECT  T1 ,  C1 ,  S ,  SV ,  T2 ,  case when [X.NO3..uMol.L.] = 'NA' then NULL else [X.NO3..uMol.L.] end as  Nitrate ,  case when [O2.Conc..uM.] = 'NA' then NULL else [O2.Conc..uM.] end as  Oxygen ,  o.date ,  o.time ,  case when o.[long.dc] = 'NA' then NULL else o.[long.dc] end as longitude ,  case when o.[lat.dc] = 'NA' then NULL else o.[lat.dc] end as latitude","SELECT  T1 ,  C1 ,  S ,  SV ,  T2 ,  case when [X.NO3..uMol.L.] = 'NA' then NULL else [X.NO3..uMol.L.] end as  Nitrate ,  case when [O2.Conc..uM.] = 'NA' then NULL else [O2.Conc..uM.] end as  Oxygen ,  o.date ,  o.time ,  case when o.[long.dc] = 'NA' then NULL else o.[long.dc] end as longitude ,  case when o.[lat.dc] = 'NA' then NULL else o.[lat.dc] end as latitude",NO,NO Error
"WITH  DEGMIN (DLAT,  DLON) AS (SELECT  CAST([LAT] AS FLOAT)/100 AS DLAT ,  CAST([LON] AS FLOAT)/-100 AS DLON FROM  [1059].[SDS_VIEW_VARCHAR]) SELECT  TOP 5 ROUND(DLAT,  0,  1) + ([DLAT] - ROUND(DLAT,  0,  1))*100/60 AS LAT FROM  DEGMIN WHERE  [DLAT] IS NOT NULL","WITH DEGMIN (DLAT, DLON) AS (
    SELECT  
        CAST(x.[LAT] AS FLOAT)/100 AS DLAT, 
        CAST(x.[LON] AS FLOAT)/-100 AS DLON 
    FROM  
        [1059].[SDS_VIEW_VARCHAR]
)
SELECT  
    TOP 5 ROUND(z.DLAT, 0, 1) + (z.[DLAT] - ROUND(z.DLAT, 0, 1)) * 100 / 60 AS LAT 
FROM  
    DEGMIN 
WHERE  
    y.[DLAT] IS NOT NULL;",YES,alias-undefined
